settlement_period,n_measurements,measurements_sha256,recomputed_sha256,match
3,948,98a3433f42c0fe3e68fc320d841e3616323b3d2ee2c6589bad11b2bd774f2b71,98a3433f42c0fe3e68fc320d841e3616323b3d2ee2c6589bad11b2bd774f2b71,True
4,948,5c2185a295f2d3a51580c2ad9cf971a409bcc50f2ec9ed145e3af09d706b2eaa,5c2185a295f2d3a51580c2ad9cf971a409bcc50f2ec9ed145e3af09d706b2eaa,True
5,948,355dbab52c346f2f3ea53d830b9c6074aaac12133091f79baf396976c1898a59,355dbab52c346f2f3ea53d830b9c6074aaac12133091f79baf396976c1898a59,True
6,948,709b91c506e50ad124d19066e35d081da304fe7ec0b6d14f4a763e1d35755cca,709b91c506e50ad124d19066e35d081da304fe7ec0b6d14f4a763e1d35755cca,True
7,948,7fb40c70aa67ef20fd5dddab60be73c17ee5dfea00a911280805fcc4418bc9fe,7fb40c70aa67ef20fd5dddab60be73c17ee5dfea00a911280805fcc4418bc9fe,True
8,948,4eaad728d7955b5bf569d26a38e82c0a7bd334475bbf67ac9ac74236b8e9905d,4eaad728d7955b5bf569d26a38e82c0a7bd334475bbf67ac9ac74236b8e9905d,True
9,948,fc17c9c1b2ccb1006fa8bfaae4465208d4bea6dd814c39ba2e5ec8409d1dee6b,fc17c9c1b2ccb1006fa8bfaae4465208d4bea6dd814c39ba2e5ec8409d1dee6b,True
10,948,989d6c0319a75cab7e033c2ff44841a3cba465adf5b10364b553675e9e1c8ed6,989d6c0319a75cab7e033c2ff44841a3cba465adf5b10364b553675e9e1c8ed6,True
11,948,b70fde798ca6cc27cbaa5781bd7fdae4869a4987465d13f5a90f97fe7a41966e,b70fde798ca6cc27cbaa5781bd7fdae4869a4987465d13f5a90f97fe7a41966e,True
12,948,cd3d6c38debbda3b932b3bb082601e54e25ede2b49eecfd05fc75962bd2cc928,cd3d6c38debbda3b932b3bb082601e54e25ede2b49eecfd05fc75962bd2cc928,True
13,948,3f80ab00969baa225e8893ae4be778d551dccc72039afb9ff2f93ae886509c7b,3f80ab00969baa225e8893ae4be778d551dccc72039afb9ff2f93ae886509c7b,True
14,948,5cf756a12f9f66088232d5401155f28d5253a475318c19c77d319ce963b96d74,5cf756a12f9f66088232d5401155f28d5253a475318c19c77d319ce963b96d74,True
15,948,43f78fb946b778e0272fa54f5d5b43e1b434bc19165ea0af59c0a95f4feb4c3b,43f78fb946b778e0272fa54f5d5b43e1b434bc19165ea0af59c0a95f4feb4c3b,True
16,948,651cfad3d61316b5c9dae54f6eafa14402f288848fad096fead8aa445a7f535e,651cfad3d61316b5c9dae54f6eafa14402f288848fad096fead8aa445a7f535e,True
17,948,fbf1bd7af5741207be89d95248c3a5a96a086b900aef8a74225017e7381d9c40,fbf1bd7af5741207be89d95248c3a5a96a086b900aef8a74225017e7381d9c40,True
18,948,02437bdb8a4aeefe425f3a75ee43083a8583e8a30ffddbcb025cee6f4c5a92bc,02437bdb8a4aeefe425f3a75ee43083a8583e8a30ffddbcb025cee6f4c5a92bc,True
