settlement_period,datetime_utc,converged,status,objective_j,dof,chi_threshold,chi_passed,reduced_chi2,measurements_n,removed_n,removed_json,iterations,max_state_update,error
3,2026-06-25T00:00:00Z,True,Converged,142.6761529155759,317,359.5207249007415,True,0.450082501310965,948,0,[],5,2.291629258027818e-09,
4,2026-06-25T00:30:00Z,True,Converged,138.08647481688524,317,359.5207249007415,True,0.43560402150436983,948,0,[],5,2.0818842308614543e-09,
5,2026-06-25T01:00:00Z,True,Converged,138.7198312025758,317,359.5207249007415,True,0.43760199117531795,948,0,[],5,2.4927565212274705e-09,
6,2026-06-25T01:30:00Z,True,Converged,140.75289991885424,317,359.5207249007415,True,0.4440154571572689,948,0,[],5,2.179600668754027e-09,
7,2026-06-25T02:00:00Z,True,Converged,133.38221337666664,317,359.5207249007415,True,0.42076408005257615,948,0,[],5,1.6366798824586646e-09,
8,2026-06-25T02:30:00Z,True,Converged,134.32491631091125,317,359.5207249007415,True,0.4237379063435686,948,0,[],5,1.4939710831995758e-09,
9,2026-06-25T03:00:00Z,True,Converged,131.762066225864,317,359.5207249007415,True,0.41565320575982334,948,0,[],5,1.0440953606455048e-09,
10,2026-06-25T03:30:00Z,True,Converged,128.38147791556062,317,359.5207249007415,True,0.4049888893235351,948,0,[],5,1.1000951772615787e-09,
11,2026-06-25T04:00:00Z,True,Converged,129.09975820478107,317,359.5207249007415,True,0.40725475774378883,948,0,[],5,7.228127568700271e-10,
12,2026-06-25T04:30:00Z,True,Converged,128.62128426312285,317,359.5207249007415,True,0.4057453762243623,948,0,[],5,7.256869679485915e-10,
13,2026-06-25T05:00:00Z,True,Converged,132.1446856782401,317,359.5207249007415,True,0.41686020718687733,948,0,[],5,9.667359280463154e-10,
14,2026-06-25T05:30:00Z,True,Converged,138.49135099618562,317,359.5207249007415,True,0.4368812334264531,948,0,[],5,8.888041374384674e-10,
15,2026-06-25T06:00:00Z,True,Converged,139.65901490927837,317,359.5207249007415,True,0.44056471580213996,948,0,[],5,1.91080262035427e-09,
16,2026-06-25T06:30:00Z,True,Converged,142.887597408786,317,359.5207249007415,True,0.4507495186397035,948,0,[],5,1.7570354563030077e-09,
17,2026-06-25T07:00:00Z,True,Converged,143.80833989227096,317,359.5207249007415,True,0.4536540690607917,948,0,[],5,1.959423426155458e-09,
18,2026-06-25T07:30:00Z,True,Converged,147.8043350576128,317,359.5207249007415,True,0.4662597320429426,948,0,[],5,1.8390057520043431e-09,
19,2026-06-25T08:00:00Z,True,Converged,160.96569350121393,317,359.5207249007415,True,0.5077782129375834,948,0,[],5,1.2199544484157451e-09,
20,2026-06-25T08:30:00Z,True,Converged,162.3100571540886,317,359.5207249007415,True,0.5120191077416044,948,0,[],5,9.973924959573754e-10,
21,2026-06-25T09:00:00Z,True,Converged,155.607607136533,317,359.5207249007415,True,0.49087573229190223,948,0,[],5,1.3232607095122011e-09,
22,2026-06-25T09:30:00Z,True,Converged,154.6589693122223,317,359.5207249007415,True,0.48788318395022806,948,0,[],5,1.3815719178874447e-09,
23,2026-06-25T10:00:00Z,True,Converged,153.49349611753863,317,359.5207249007415,True,0.48420661235816603,948,0,[],5,1.427267514790489e-09,
24,2026-06-25T10:30:00Z,True,Converged,155.07191205627473,317,359.5207249007415,True,0.4891858424488162,948,0,[],5,1.3595539356385404e-09,
25,2026-06-25T11:00:00Z,True,Converged,143.82419113060124,317,359.5207249007415,True,0.45370407296719634,948,0,[],5,1.5983415680391496e-09,
26,2026-06-25T11:30:00Z,True,Converged,140.5893944196501,317,359.5207249007415,True,0.44349966693895926,948,0,[],5,1.9391098052063673e-09,
27,2026-06-25T12:00:00Z,True,Converged,150.791392634008,317,359.5207249007415,True,0.47568262660570343,948,0,[],5,1.7807491983300123e-09,
28,2026-06-25T12:30:00Z,True,Converged,149.23881782713386,317,359.5207249007415,True,0.47078491428117936,948,0,[],5,2.8991660929333286e-09,
29,2026-06-25T13:00:00Z,True,Converged,148.35440432923338,317,359.5207249007415,True,0.46799496633827564,948,0,[],5,2.3561223055148428e-09,
30,2026-06-25T13:30:00Z,True,Converged,142.02094051935987,317,359.5207249007415,True,0.44801558523457374,948,0,[],5,2.1607568966214107e-09,
31,2026-06-25T14:00:00Z,True,Converged,137.1964340245118,317,359.5207249007415,True,0.43279632184388583,948,0,[],5,3.4785369977956804e-09,
32,2026-06-25T14:30:00Z,True,Converged,131.66430733454243,317,359.5207249007415,True,0.4153448180900392,948,0,[],5,5.1657162170441205e-09,
33,2026-06-25T15:00:00Z,True,Converged,152.77382385119137,317,359.5207249007415,True,0.48193635284287495,948,0,[],5,4.781654151952534e-09,
34,2026-06-25T15:30:00Z,True,Converged,159.56784627426796,317,359.5207249007415,True,0.5033686002342838,948,0,[],5,2.1086391695392377e-09,
35,2026-06-25T16:00:00Z,True,Converged,149.60257395285532,317,359.5207249007415,True,0.47193240994591584,948,0,[],5,2.0059218275989368e-09,
36,2026-06-25T16:30:00Z,True,Converged,144.83057145781632,317,359.5207249007415,True,0.456878774314878,948,0,[],5,4.239267840493662e-09,
37,2026-06-25T17:00:00Z,True,Converged,139.31468803334332,317,359.5207249007415,True,0.4394785111461934,948,0,[],5,4.4238086231324555e-09,
38,2026-06-25T17:30:00Z,True,Converged,143.3127182832393,317,359.5207249007415,True,0.45209059395343626,948,0,[],5,2.0300607269769614e-09,
39,2026-06-25T18:00:00Z,True,Converged,136.80478045142164,317,359.5207249007415,True,0.43156082161331744,948,0,[],5,1.7771799660568905e-09,
40,2026-06-25T18:30:00Z,True,Converged,146.61262981253873,317,359.5207249007415,True,0.46250040950327675,948,0,[],5,1.858003332389581e-09,
41,2026-06-25T19:00:00Z,True,Converged,134.76550769248627,317,359.5207249007415,True,0.4251277845188841,948,0,[],5,1.8152680079031293e-09,
42,2026-06-25T19:30:00Z,True,Converged,140.55288429534934,317,359.5207249007415,True,0.44338449304526606,948,0,[],5,2.0290344642727725e-09,
43,2026-06-25T20:00:00Z,True,Converged,136.70130345791782,317,359.5207249007415,True,0.43123439576630224,948,0,[],5,2.295286117378204e-09,
44,2026-06-25T20:30:00Z,True,Converged,140.88126996338056,317,359.5207249007415,True,0.44442040997911847,948,0,[],5,4.296258656572784e-09,
45,2026-06-25T21:00:00Z,True,Converged,133.8111715375982,317,359.5207249007415,True,0.42211726037097225,948,0,[],5,4.8128817010123195e-09,
46,2026-06-25T21:30:00Z,True,Converged,132.25581159922402,317,359.5207249007415,True,0.4172107621426625,948,0,[],5,4.498526207105934e-09,
47,2026-06-25T22:00:00Z,True,Converged,140.0367646091105,317,359.5207249007415,True,0.44175635523378703,948,0,[],5,4.902043726339193e-09,
48,2026-06-25T22:30:00Z,True,Converged,137.32820093286477,317,359.5207249007415,True,0.43321199032449453,948,0,[],5,5.216907481624432e-09,
