settlement_period,datetime_utc,converged,status,objective_j,dof,chi_threshold,chi_passed,reduced_chi2,measurements_n,removed_n,removed_json,iterations,max_state_update,error
3,2026-06-26T00:00:00Z,True,Converged,123.35697484640339,317,359.5207249007415,True,0.38913872191294446,948,0,[],5,9.216388483642242e-10,
4,2026-06-26T00:30:00Z,True,Converged,117.71283470067786,317,359.5207249007415,True,0.3713338634090784,948,0,[],5,1.0660847748305167e-09,
5,2026-06-26T01:00:00Z,True,Converged,120.76688099384918,317,359.5207249007415,True,0.3809680788449501,948,0,[],5,1.0197521034037204e-09,
6,2026-06-26T01:30:00Z,True,Converged,126.06419563579773,317,359.5207249007415,True,0.39767885058611274,948,0,[],5,6.933992168989449e-10,
7,2026-06-26T02:00:00Z,True,Converged,123.16908490329887,317,359.5207249007415,True,0.3885460091586715,948,0,[],5,8.239624682872175e-10,
8,2026-06-26T02:30:00Z,True,Converged,128.93681667307385,317,359.5207249007415,True,0.4067407466027566,948,0,[],5,6.462321509103432e-10,
9,2026-06-26T03:00:00Z,True,Converged,134.97203378475126,317,359.5207249007415,True,0.42577928638722795,948,0,[],5,5.943014581278683e-10,
10,2026-06-26T03:30:00Z,True,Converged,137.67329048575286,317,359.5207249007415,True,0.4343006009014286,948,0,[],5,9.16441694695783e-10,
11,2026-06-26T04:00:00Z,True,Converged,130.05675538622893,317,359.5207249007415,True,0.41027367629725214,948,0,[],5,1.0846848387594242e-09,
12,2026-06-26T04:30:00Z,True,Converged,134.7628070723564,317,359.5207249007415,True,0.4251192652124807,948,0,[],5,9.384358349861065e-10,
13,2026-06-26T05:00:00Z,True,Converged,136.16710963479585,317,359.5207249007415,True,0.42954924175014464,948,0,[],5,1.933509111851558e-09,
14,2026-06-26T05:30:00Z,True,Converged,149.72302567228505,317,359.5207249007415,True,0.47231238382424306,948,0,[],5,1.7765376490720589e-09,
15,2026-06-26T06:00:00Z,True,Converged,140.3234468534341,317,359.5207249007415,True,0.44266071562597503,948,0,[],5,3.4890844557542272e-09,
16,2026-06-26T06:30:00Z,True,Converged,151.46191675934895,317,359.5207249007415,True,0.47779784466671593,948,0,[],5,4.2262057801307366e-09,
17,2026-06-26T07:00:00Z,True,Converged,157.64882436418506,317,359.5207249007415,True,0.49731490335705064,948,0,[],5,5.791884022943955e-09,
18,2026-06-26T07:30:00Z,True,Converged,156.98570387465867,317,359.5207249007415,True,0.4952230406140652,948,0,[],5,8.120061415962083e-09,
19,2026-06-26T08:00:00Z,True,Converged,158.58063142180876,317,359.5207249007415,True,0.5002543577975039,948,0,[],5,7.410076549430027e-09,
20,2026-06-26T08:30:00Z,True,Converged,148.93875281677472,317,359.5207249007415,True,0.46983833696143446,948,0,[],5,6.600658508725592e-09,
21,2026-06-26T09:00:00Z,True,Converged,155.80268256199597,317,359.5207249007415,True,0.49149111218295255,948,0,[],5,5.682268325338304e-09,
22,2026-06-26T09:30:00Z,True,Converged,170.70779857570545,317,359.5207249007415,True,0.5385104056015945,948,0,[],5,3.999630734816372e-09,
23,2026-06-26T10:00:00Z,True,Converged,177.4487030553322,317,359.5207249007415,True,0.5597750885026253,948,0,[],5,2.973529400774197e-09,
24,2026-06-26T10:30:00Z,True,Converged,169.65251346110557,317,359.5207249007415,True,0.5351814304766738,948,0,[],5,5.256657684342066e-09,
25,2026-06-26T11:00:00Z,True,Converged,169.11993643401016,317,359.5207249007415,True,0.533501376763439,948,0,[],5,5.409054086105117e-09,
26,2026-06-26T11:30:00Z,True,Converged,172.29513501864415,317,359.5207249007415,True,0.5435177760840509,948,0,[],5,4.318928114018559e-09,
27,2026-06-26T12:00:00Z,True,Converged,168.83609882731824,317,359.5207249007415,True,0.5326059899915402,948,0,[],5,3.7902837309521065e-09,
28,2026-06-26T12:30:00Z,True,Converged,161.84844256831104,317,359.5207249007415,True,0.5105629103101295,948,0,[],5,4.5965388419696925e-09,
