settlement_period,datetime_utc,converged,status,objective_j,dof,chi_threshold,chi_passed,reduced_chi2,measurements_n,removed_n,removed_json,iterations,max_state_update,error
29,2026-06-26T13:00:00Z,True,Converged,160.737076286882,317,359.5207249007415,True,0.5070570229870095,948,0,[],5,4.1157792962649696e-09,
30,2026-06-26T13:30:00Z,True,Converged,161.55653289393186,317,359.5207249007415,True,0.5096420596023087,948,0,[],5,3.2319662159951646e-09,
31,2026-06-26T14:00:00Z,True,Converged,158.84127296587997,317,359.5207249007415,True,0.5010765708702838,948,0,[],5,3.6334877201885114e-09,
32,2026-06-26T14:30:00Z,True,Converged,154.5423883045981,317,359.5207249007415,True,0.4875154205192369,948,0,[],5,4.0668470866174404e-09,
33,2026-06-26T15:00:00Z,True,Converged,158.0028316999197,317,359.5207249007415,True,0.4984316457410716,948,0,[],5,2.329124747990941e-09,
34,2026-06-26T15:30:00Z,True,Converged,143.4517725427387,317,359.5207249007415,True,0.4525292509234659,948,0,[],5,2.71260351112494e-09,
35,2026-06-26T16:00:00Z,True,Converged,137.76003459937027,317,359.5207249007415,True,0.43457424163839203,948,0,[],5,2.261694868957793e-09,
36,2026-06-26T16:30:00Z,True,Converged,122.52959095383302,317,359.5207249007415,True,0.38652867808780134,948,0,[],5,1.4105566584216721e-09,
37,2026-06-26T17:00:00Z,True,Converged,126.04234995261969,317,359.5207249007415,True,0.39760993675905265,948,0,[],5,9.261536576914633e-10,
38,2026-06-26T17:30:00Z,True,Converged,119.57764755537569,317,359.5207249007415,True,0.37721655380244695,948,0,[],5,8.027507546209868e-10,
39,2026-06-26T18:00:00Z,True,Converged,126.45695116527749,317,359.5207249007415,True,0.3989178270198028,948,0,[],5,8.666286782003306e-10,
40,2026-06-26T18:30:00Z,True,Converged,130.31499630370087,317,359.5207249007415,True,0.4110883164154601,948,0,[],5,1.1054036405049206e-09,
41,2026-06-26T19:00:00Z,True,Converged,115.32875439307344,317,359.5207249007415,True,0.36381310534092565,948,0,[],5,1.5432323390535798e-09,
42,2026-06-26T19:30:00Z,True,Converged,118.39706925912076,317,359.5207249007415,True,0.37349233204769955,948,0,[],5,2.0255366815751853e-09,
43,2026-06-26T20:00:00Z,True,Converged,104.60951217554219,317,359.5207249007415,True,0.3299984611215842,948,0,[],5,2.1971705795361666e-09,
44,2026-06-26T20:30:00Z,True,Converged,101.3011015390132,317,359.5207249007415,True,0.3195618345079281,948,0,[],5,1.9213421627156327e-09,
45,2026-06-26T21:00:00Z,True,Converged,101.41423671798465,317,359.5207249007415,True,0.31991872781698627,948,0,[],5,1.437043931807409e-09,
46,2026-06-26T21:30:00Z,True,Converged,103.35223487048724,317,359.5207249007415,True,0.32603228665768846,948,0,[],5,1.54128581025187e-09,
47,2026-06-26T22:00:00Z,True,Converged,110.96515095530269,317,359.5207249007415,True,0.3500477948116804,948,0,[],5,1.1186276525967784e-09,
48,2026-06-26T22:30:00Z,True,Converged,125.40975817305413,317,359.5207249007415,True,0.39561437909480796,948,0,[],5,1.0170043935135045e-09,
