settlement_period,n_measurements,measurements_sha256,recomputed_sha256,match
3,948,0d26915d111038b079d404eddd513dee564ad97af35e80775c1b4ea9d913c5d0,0d26915d111038b079d404eddd513dee564ad97af35e80775c1b4ea9d913c5d0,True
4,948,9f62f9bca4011e979abbd5455d836f4edfe9fe2da0b93e0652f5fd6de8213522,9f62f9bca4011e979abbd5455d836f4edfe9fe2da0b93e0652f5fd6de8213522,True
5,948,d255e17db48f01f2938a4d951ec84d9dc24159525473baff0ad2563d045b3b3a,d255e17db48f01f2938a4d951ec84d9dc24159525473baff0ad2563d045b3b3a,True
6,948,2fb78fe2b8d4af176d593934cb0fc2a56784e7f172c73ea333cb5f157c7a0665,2fb78fe2b8d4af176d593934cb0fc2a56784e7f172c73ea333cb5f157c7a0665,True
7,948,30d81b3db2b72238d55740ff098990502baf89789a0e59de28582b5f7e84e459,30d81b3db2b72238d55740ff098990502baf89789a0e59de28582b5f7e84e459,True
8,948,3981059fa6dab36c760a637a7e5d4c114b1c4624aea092a7b29015cc888dbec4,3981059fa6dab36c760a637a7e5d4c114b1c4624aea092a7b29015cc888dbec4,True
9,948,fb7c519f6b3fada430736227daf5456c86ff539ee31e33ac8f922f8348d3e9c0,fb7c519f6b3fada430736227daf5456c86ff539ee31e33ac8f922f8348d3e9c0,True
10,948,43cddcb47b7175a2dfa2c04d5587dfcc6b56be4da88ffd1d2711671d341f8a05,43cddcb47b7175a2dfa2c04d5587dfcc6b56be4da88ffd1d2711671d341f8a05,True
11,948,48fd050a2a37147958bd3f08c55ab5caba89455760c2214cdfc138aa7037223b,48fd050a2a37147958bd3f08c55ab5caba89455760c2214cdfc138aa7037223b,True
12,948,053f6ea1c40aa34700600a039df0c7133e7f43b88ceffdbcad5eaed448f04d22,053f6ea1c40aa34700600a039df0c7133e7f43b88ceffdbcad5eaed448f04d22,True
13,948,3fe01ff04c360e97017bdc1d2633c21c19c4f6500c5924d599ac2b4e4631100a,3fe01ff04c360e97017bdc1d2633c21c19c4f6500c5924d599ac2b4e4631100a,True
14,948,ae042814794712dfca499cde45a498024ce501e16612ad6c096f1b87679268a9,ae042814794712dfca499cde45a498024ce501e16612ad6c096f1b87679268a9,True
15,948,0390e8c57345c6d3835272aa3fcbe555e91398b349e29149396a1faed9c3c9af,0390e8c57345c6d3835272aa3fcbe555e91398b349e29149396a1faed9c3c9af,True
16,948,a63ebcaacbf68f3f9fc272e60cfa42dff96fcdfefc88d8fdb0b53bd164fb5f46,a63ebcaacbf68f3f9fc272e60cfa42dff96fcdfefc88d8fdb0b53bd164fb5f46,True
17,948,978fe04dcff2f0ce2020a7d1c178c2a2c5ca0849c1fa4a25945adce01605339d,978fe04dcff2f0ce2020a7d1c178c2a2c5ca0849c1fa4a25945adce01605339d,True
18,948,3988fcf8a36818c6e6fae7f22d9ab4e271a1fc3f51334a8f3b0dae8072900d6a,3988fcf8a36818c6e6fae7f22d9ab4e271a1fc3f51334a8f3b0dae8072900d6a,True
19,948,bf4f1870daae501c5a3d966f93b65cc2f324f06a245c29f89b19e75e331c03fd,bf4f1870daae501c5a3d966f93b65cc2f324f06a245c29f89b19e75e331c03fd,True
20,948,26f3776d797dbb0f3a5de466cfa5d4bed68232224a178e9868a5d38a4a6749b5,26f3776d797dbb0f3a5de466cfa5d4bed68232224a178e9868a5d38a4a6749b5,True
21,948,dd6430daeb6b33977858442e0b75e9a3580bd45ee6e81d8c743f60fe4da90e91,dd6430daeb6b33977858442e0b75e9a3580bd45ee6e81d8c743f60fe4da90e91,True
22,948,73b4862483baef86e04dfa027bc1f634b3a54cb39b69a100449248685fc179f1,73b4862483baef86e04dfa027bc1f634b3a54cb39b69a100449248685fc179f1,True
23,948,095a08ff88ae486cf5640f10e6870a888c3358bbc475ed2d0c709d86f0ff2fc2,095a08ff88ae486cf5640f10e6870a888c3358bbc475ed2d0c709d86f0ff2fc2,True
24,948,082799beab91e1bc8393fb7e74006e721a78aba1ecb3291d14ec03854253d5b0,082799beab91e1bc8393fb7e74006e721a78aba1ecb3291d14ec03854253d5b0,True
25,948,837dc249a14d91275d8e9a2e9c69e5b9dd75e10c1c0819b093b417b6265f5afa,837dc249a14d91275d8e9a2e9c69e5b9dd75e10c1c0819b093b417b6265f5afa,True
26,948,d19c3635e5b50b75e5b0b0f9455c83f5bb46733453ab353be47ab8c7a65cf631,d19c3635e5b50b75e5b0b0f9455c83f5bb46733453ab353be47ab8c7a65cf631,True
27,948,3cb3426765e427cd1718c0904f5f090d19cad2442bf34de2af493c08afc2ed47,3cb3426765e427cd1718c0904f5f090d19cad2442bf34de2af493c08afc2ed47,True
28,948,7aa1ab172cd70146cdd41a9e549f2fc535a449ac7f1744f54d7bcbd7380023ed,7aa1ab172cd70146cdd41a9e549f2fc535a449ac7f1744f54d7bcbd7380023ed,True
29,948,22c0ce62cc882dd4f7728097d5a15022f68f111e8717be7d54fa7a57d934124c,22c0ce62cc882dd4f7728097d5a15022f68f111e8717be7d54fa7a57d934124c,True
30,948,42339d42f6787dbfb37d44de91efed08633a81a181b88c68e05f004cbdb689e7,42339d42f6787dbfb37d44de91efed08633a81a181b88c68e05f004cbdb689e7,True
31,948,599e08146116d750a8c6b81335e65844a44272c0c67e10ef8ac6d88d98ea1ea5,599e08146116d750a8c6b81335e65844a44272c0c67e10ef8ac6d88d98ea1ea5,True
32,948,1e9ba62c0e5605646b586172171058fb41e29923ac4ea441741623ae6e67a7fd,1e9ba62c0e5605646b586172171058fb41e29923ac4ea441741623ae6e67a7fd,True
33,948,5719238080cb224bcd5f6f6c8b778f4f5c8e814cd9535f6a59741efa4ca2231a,5719238080cb224bcd5f6f6c8b778f4f5c8e814cd9535f6a59741efa4ca2231a,True
34,948,c9bce34702058cd100a5c6242d7f0356e457628746c57daae4e7addf4c2aecca,c9bce34702058cd100a5c6242d7f0356e457628746c57daae4e7addf4c2aecca,True
35,948,768e892a754c89433a8dca64c7d70656778dbcb24e21b09381099be0e65724a4,768e892a754c89433a8dca64c7d70656778dbcb24e21b09381099be0e65724a4,True
36,948,618a885da6e9b80e606c12e37da7511d9484eaf2c3bfdf7ced57dff6bb346643,618a885da6e9b80e606c12e37da7511d9484eaf2c3bfdf7ced57dff6bb346643,True
37,948,0d560138d2760ac46410312397e12f2c31b895bd370cdeb46d75c25ea2b631b2,0d560138d2760ac46410312397e12f2c31b895bd370cdeb46d75c25ea2b631b2,True
38,948,4b330c04d342646df6a09e69e556d1508c46733a6e6f218d3bfe542cf430a106,4b330c04d342646df6a09e69e556d1508c46733a6e6f218d3bfe542cf430a106,True
39,948,538799d3a33c790c2f6db61bce637bf9b29ea1ed05b0b6df83eab4b8d9bc4bea,538799d3a33c790c2f6db61bce637bf9b29ea1ed05b0b6df83eab4b8d9bc4bea,True
40,948,1349331121c4bfe3024eef8dcdd86578cb16f41856d8b0476c4d128d3af63ebe,1349331121c4bfe3024eef8dcdd86578cb16f41856d8b0476c4d128d3af63ebe,True
41,948,458f02fda0108c6efe5d1e264a1ab55a5781938be1c199e8e6647368fbe11a98,458f02fda0108c6efe5d1e264a1ab55a5781938be1c199e8e6647368fbe11a98,True
42,948,7b40fd86a1c265454926da6ebc61f2e454361fa724c36515828104428549f852,7b40fd86a1c265454926da6ebc61f2e454361fa724c36515828104428549f852,True
43,948,a53bef5655c55225b313d4be454ccb169ec50843b9d3b58f3f7bbb8d7bdea870,a53bef5655c55225b313d4be454ccb169ec50843b9d3b58f3f7bbb8d7bdea870,True
44,948,18320acdf7fb5b260bc049c5910cf5506f9ea10eec8c1da378beb045d5ba26ce,18320acdf7fb5b260bc049c5910cf5506f9ea10eec8c1da378beb045d5ba26ce,True
45,948,f8e397666be8279bad149fb999a4687a58d4c32c5f387ed74ec492a2e05bb0d2,f8e397666be8279bad149fb999a4687a58d4c32c5f387ed74ec492a2e05bb0d2,True
46,948,a93dac2de7baf935d14f11bca0bc70f3e447bfa021d7b89a4385db3237363ca5,a93dac2de7baf935d14f11bca0bc70f3e447bfa021d7b89a4385db3237363ca5,True
47,948,804b584566b33f578e8ab1f02a1488488d5a9fba4648b8ce07912ade2da04da9,804b584566b33f578e8ab1f02a1488488d5a9fba4648b8ce07912ade2da04da9,True
48,948,0ba84b7bb41235fb373015a6f911cc93e5f1aff554582d06396a0ef93577407f,0ba84b7bb41235fb373015a6f911cc93e5f1aff554582d06396a0ef93577407f,True
