settlement_period,n_measurements,measurements_sha256,recomputed_sha256,match
3,948,7f257baee6ccd7518564655dbea5fb953ffceddf177bbdff5d0cdbbf0daa619a,7f257baee6ccd7518564655dbea5fb953ffceddf177bbdff5d0cdbbf0daa619a,True
4,948,ca35039c85383e8ce37c5122c18a757a2b43afb20dd54c60830fca0c88ec485e,ca35039c85383e8ce37c5122c18a757a2b43afb20dd54c60830fca0c88ec485e,True
5,948,db53f2397d86e5c6afdbddf309e246081465f80a080f90cdcad7eafcc5c6a0af,db53f2397d86e5c6afdbddf309e246081465f80a080f90cdcad7eafcc5c6a0af,True
6,948,effc7e78cc0bcd35c6763633885c93f4dcd1aa4c5c1c5d3c5ec59bf7c8b3b5f1,effc7e78cc0bcd35c6763633885c93f4dcd1aa4c5c1c5d3c5ec59bf7c8b3b5f1,True
7,948,4f785e205a42588d285f6a208068b203cd47121f6c3ac56661e604ad1ce8e3fd,4f785e205a42588d285f6a208068b203cd47121f6c3ac56661e604ad1ce8e3fd,True
8,948,f238d2208880dabc2af0c6e84cacb03aa7548905d23c47605336a9818e3105d8,f238d2208880dabc2af0c6e84cacb03aa7548905d23c47605336a9818e3105d8,True
9,948,8b83cc6b848253ff4ec5283bb44e0742bc1f055c5e2ac49b4aeb3e34f8e1a650,8b83cc6b848253ff4ec5283bb44e0742bc1f055c5e2ac49b4aeb3e34f8e1a650,True
10,948,639512b614fcdc4f1c3ee7368076f2fe2bf63a7caa528c2e3d65e9e0f6105420,639512b614fcdc4f1c3ee7368076f2fe2bf63a7caa528c2e3d65e9e0f6105420,True
11,948,abd41cfbbc32426e6b012d3b647cc1bf8f2c9d38ca246f44e7f6b1f9dd1b05f5,abd41cfbbc32426e6b012d3b647cc1bf8f2c9d38ca246f44e7f6b1f9dd1b05f5,True
12,948,4705922237c57b6ef1b4e366e5b60ebba653c3dbc02b55a60505bf2be5c336b5,4705922237c57b6ef1b4e366e5b60ebba653c3dbc02b55a60505bf2be5c336b5,True
13,948,bf14ae2889b2767ac742f001c952e1fa5d13b147656b7798f159b81d09ee4353,bf14ae2889b2767ac742f001c952e1fa5d13b147656b7798f159b81d09ee4353,True
14,948,56cc546cd695fdbdb53a5e086f048ce8f78df430cb703d50c436333ab38fa922,56cc546cd695fdbdb53a5e086f048ce8f78df430cb703d50c436333ab38fa922,True
15,948,458213647e4a4bfe739c470c91e20d983c10b7abe1c6c1babf850e36d6100cad,458213647e4a4bfe739c470c91e20d983c10b7abe1c6c1babf850e36d6100cad,True
16,948,3a1e281fc5b787fa081794a8ad4367eed3c84242f922a0a4352d1a94d266b944,3a1e281fc5b787fa081794a8ad4367eed3c84242f922a0a4352d1a94d266b944,True
17,948,3043a4c5acabb71264515efc910d81d6e310561ea7b15ac2cd56cbcc422e4d75,3043a4c5acabb71264515efc910d81d6e310561ea7b15ac2cd56cbcc422e4d75,True
18,948,a223c340ca9b0744232ad1bc721f21f3a2bf17b2175dab0bcbcc971e964d511e,a223c340ca9b0744232ad1bc721f21f3a2bf17b2175dab0bcbcc971e964d511e,True
19,948,079165cbd82dfd924025a16cc2e188db224620270f2b17b89d6ac32f0cef5713,079165cbd82dfd924025a16cc2e188db224620270f2b17b89d6ac32f0cef5713,True
20,948,3e3523039546a3cf73eb72a28f1dbfed1ef198641169266c7bba9d24cbe2ad0f,3e3523039546a3cf73eb72a28f1dbfed1ef198641169266c7bba9d24cbe2ad0f,True
21,948,ca17242311b9e46baf24d747b7717c0fcfeb06d0d6c0005533f349f795a62c44,ca17242311b9e46baf24d747b7717c0fcfeb06d0d6c0005533f349f795a62c44,True
22,948,aaef8a473a9e134ed4bbfe5e1d4935d02ebe0ef13419c57da61aa9f141dcef6e,aaef8a473a9e134ed4bbfe5e1d4935d02ebe0ef13419c57da61aa9f141dcef6e,True
23,948,7cc99e245f083efce55f3a47ae7d3f8f0846aba5afebcf1dc6f989bba603856e,7cc99e245f083efce55f3a47ae7d3f8f0846aba5afebcf1dc6f989bba603856e,True
24,948,3352c761910dd8f58f23eb16f7e36f371fe02ca1c49d39ac25ea731e64497ad0,3352c761910dd8f58f23eb16f7e36f371fe02ca1c49d39ac25ea731e64497ad0,True
25,948,c75e5b57dd1bd461673ab9ad3f1b3a61783ce57065c79864eb4908f07bc63a18,c75e5b57dd1bd461673ab9ad3f1b3a61783ce57065c79864eb4908f07bc63a18,True
26,948,29a5279930a32dd75a066f75f167613fb1781aaed00e6537bca22f8ac197c4a0,29a5279930a32dd75a066f75f167613fb1781aaed00e6537bca22f8ac197c4a0,True
27,948,5b49882fda62cbaa63f95f550ed412b3293aecd48a384dfa75891a0febe37df9,5b49882fda62cbaa63f95f550ed412b3293aecd48a384dfa75891a0febe37df9,True
28,948,9ebec687a335cd1f549f4e1b835b904156f6d105995e273425c90fbe4e49d3c8,9ebec687a335cd1f549f4e1b835b904156f6d105995e273425c90fbe4e49d3c8,True
29,948,8d36ff84ecea0f7795048123919dc9d4ba019bdeb50b6b63baece62a31dea12a,8d36ff84ecea0f7795048123919dc9d4ba019bdeb50b6b63baece62a31dea12a,True
30,948,502ec4d76f3e704c3b7017abcc183399eed27c20d39f40bf126256cb0f8e4a85,502ec4d76f3e704c3b7017abcc183399eed27c20d39f40bf126256cb0f8e4a85,True
31,948,ef713f1238007ca0a75ecd0812254c305b8bd61a355b10bbf9788e1f90036236,ef713f1238007ca0a75ecd0812254c305b8bd61a355b10bbf9788e1f90036236,True
32,948,2407eaaeb1b235b7c37b7afea7d658f37c34e73a131cbf142ff198321d785368,2407eaaeb1b235b7c37b7afea7d658f37c34e73a131cbf142ff198321d785368,True
33,948,cbde8201853e6ce5b8682adc14ceea788888308dd2c15c5e04b5a78e5d6914cc,cbde8201853e6ce5b8682adc14ceea788888308dd2c15c5e04b5a78e5d6914cc,True
