settlement_period,n_measurements,measurements_sha256,recomputed_sha256,match
3,948,e920e2fed00f45693deb617239c264f08d4998c402928cd4fe753327bfdfea94,e920e2fed00f45693deb617239c264f08d4998c402928cd4fe753327bfdfea94,True
4,948,6148ece42e3fe3c3ecd42ab8071e26832a46c9754f19f149d38d94f8fed64d71,6148ece42e3fe3c3ecd42ab8071e26832a46c9754f19f149d38d94f8fed64d71,True
5,948,45d370a9860ddcba5671e4cb3764d17c4495921a75cf8dc921105bc59f4494d1,45d370a9860ddcba5671e4cb3764d17c4495921a75cf8dc921105bc59f4494d1,True
6,948,96059c19d3d52a878683c7a5804422338204817149c8e89970180daee86522c8,96059c19d3d52a878683c7a5804422338204817149c8e89970180daee86522c8,True
7,948,fe214da4371c0ca99f013977eaafcf2c1acf49fe8f3941a32435d608d764e00d,fe214da4371c0ca99f013977eaafcf2c1acf49fe8f3941a32435d608d764e00d,True
8,948,806bddf1fb0108391dc020903492becee32e161482c6ecef77c1d3914a747063,806bddf1fb0108391dc020903492becee32e161482c6ecef77c1d3914a747063,True
9,948,235ba496c5dd8942b1087637c547f9802f662774a368612abc3546dd237f38d6,235ba496c5dd8942b1087637c547f9802f662774a368612abc3546dd237f38d6,True
10,948,01bc7dad63f838110fc33581e05aba8e44f6641c4294a9dfc346f7156e08f6b4,01bc7dad63f838110fc33581e05aba8e44f6641c4294a9dfc346f7156e08f6b4,True
11,948,a6aa53eb8da7d2fe3146aceb20a911e3aeb53305be14828bafec3b6adfd6141b,a6aa53eb8da7d2fe3146aceb20a911e3aeb53305be14828bafec3b6adfd6141b,True
12,948,ff5a78bac271a23471ec2e9a9b18e8ae71dc43977be4564f685c641a4ccc35ff,ff5a78bac271a23471ec2e9a9b18e8ae71dc43977be4564f685c641a4ccc35ff,True
13,948,99748bb7d37f1a4f4205a0ceef42a09c2082b0aff1a9bf24a46ff43513a9d343,99748bb7d37f1a4f4205a0ceef42a09c2082b0aff1a9bf24a46ff43513a9d343,True
