settlement_period,datetime_utc,converged,status,objective_j,dof,chi_threshold,chi_passed,reduced_chi2,measurements_n,removed_n,removed_json,iterations,max_state_update,error
3,2026-06-24T00:00:00Z,True,Converged,117.93388810179286,317,359.5207249007415,True,0.3720311927501352,948,0,[],5,9.668082428715915e-10,
4,2026-06-24T00:30:00Z,True,Converged,122.17665603638662,317,359.5207249007415,True,0.38541531872677165,948,0,[],5,9.72003084157834e-10,
5,2026-06-24T01:00:00Z,True,Converged,118.97307317904621,317,359.5207249007415,True,0.37530937911371043,948,0,[],5,9.619220676356716e-10,
6,2026-06-24T01:30:00Z,True,Converged,117.82884175054481,317,359.5207249007415,True,0.3716998162477754,948,0,[],5,1.0305145653291386e-09,
7,2026-06-24T02:00:00Z,True,Converged,114.08115097925148,317,359.5207249007415,True,0.35987744788407405,948,0,[],5,1.6996746700104065e-09,
8,2026-06-24T02:30:00Z,True,Converged,121.24991811855541,317,359.5207249007415,True,0.38249185526358176,948,0,[],5,1.6228934532181892e-09,
9,2026-06-24T03:00:00Z,True,Converged,123.49519212585153,317,359.5207249007415,True,0.389574738567355,948,0,[],5,1.8359961552410981e-09,
10,2026-06-24T03:30:00Z,True,Converged,129.87769399039266,317,359.5207249007415,True,0.4097088138498191,948,0,[],5,2.413971910029746e-09,
11,2026-06-24T04:00:00Z,True,Converged,134.29105102430714,317,359.5207249007415,True,0.42363107578645787,948,0,[],5,1.4074038636061186e-09,
12,2026-06-24T04:30:00Z,True,Converged,137.4040953722236,317,359.5207249007415,True,0.43345140495969586,948,0,[],5,1.1896815454611666e-09,
13,2026-06-24T05:00:00Z,True,Converged,142.70959672506436,317,359.5207249007415,True,0.4501880022872693,948,0,[],5,1.8374868099843864e-09,
14,2026-06-24T05:30:00Z,True,Converged,167.86705258361366,317,359.5207249007415,True,0.529549061777961,948,0,[],5,1.9286736953172876e-09,
15,2026-06-24T06:00:00Z,True,Converged,157.51291203862957,317,359.5207249007415,True,0.49688615785056645,948,0,[],5,3.826845145227887e-09,
16,2026-06-24T06:30:00Z,True,Converged,148.3185693533275,317,359.5207249007415,True,0.46788192225024444,948,0,[],5,2.6520350022239122e-09,
17,2026-06-24T07:00:00Z,True,Converged,133.14278280748877,317,359.5207249007415,True,0.4200087785725198,948,0,[],5,1.8346416943001634e-09,
18,2026-06-24T07:30:00Z,True,Converged,132.2472905126964,317,359.5207249007415,True,0.4171838817435218,948,0,[],5,1.8292383090690497e-09,
19,2026-06-24T08:00:00Z,True,Converged,135.8080585028655,317,359.5207249007415,True,0.4284165883371151,948,0,[],5,2.103827690476196e-09,
20,2026-06-24T08:30:00Z,True,Converged,129.0669647296494,317,359.5207249007415,True,0.407151308295424,948,0,[],5,1.6495045857633386e-09,
21,2026-06-24T09:00:00Z,True,Converged,135.24149570493984,317,359.5207249007415,True,0.4266293239903465,948,0,[],5,1.4810941891841854e-09,
22,2026-06-24T09:30:00Z,True,Converged,138.3220511432108,317,359.5207249007415,True,0.436347164489624,948,0,[],5,1.360573009532921e-09,
23,2026-06-24T10:00:00Z,True,Converged,134.07234962446367,317,359.5207249007415,True,0.4229411660077718,948,0,[],5,1.5375172617964701e-09,
24,2026-06-24T10:30:00Z,True,Converged,135.47565680331402,317,359.5207249007415,True,0.42736800253411367,948,0,[],5,1.5555700765101998e-09,
25,2026-06-24T11:00:00Z,True,Converged,141.72718245699164,317,359.5207249007415,True,0.4470889036498159,948,0,[],5,1.6693953149133418e-09,
26,2026-06-24T11:30:00Z,True,Converged,138.83052640863116,317,359.5207249007415,True,0.4379511874089311,948,0,[],5,1.520306459077417e-09,
27,2026-06-24T12:00:00Z,True,Converged,135.24096235540583,317,359.5207249007415,True,0.42662764149970295,948,0,[],5,1.7438128156426048e-09,
28,2026-06-24T12:30:00Z,True,Converged,131.6435585771074,317,359.5207249007415,True,0.4152793645965533,948,0,[],5,1.9176173352084136e-09,
29,2026-06-24T13:00:00Z,True,Converged,142.54336768120407,317,359.5207249007415,True,0.4496636204454387,948,0,[],5,1.1404212191109423e-09,
30,2026-06-24T13:30:00Z,True,Converged,139.27465824783553,317,359.5207249007415,True,0.43935223422030134,948,0,[],5,1.3017218131009323e-09,
31,2026-06-24T14:00:00Z,True,Converged,136.91677946425497,317,359.5207249007415,True,0.43191413080206614,948,0,[],5,1.3457480617506983e-09,
32,2026-06-24T14:30:00Z,True,Converged,139.76753026165932,317,359.5207249007415,True,0.4409070355257392,948,0,[],5,1.5192793439685935e-09,
33,2026-06-24T15:00:00Z,True,Converged,151.48339709389452,317,359.5207249007415,True,0.4778656059744307,948,0,[],5,1.5897425222715478e-09,
34,2026-06-24T15:30:00Z,True,Converged,153.05619903596263,317,359.5207249007415,True,0.4828271262964121,948,0,[],5,1.967204226778763e-09,
35,2026-06-24T16:00:00Z,True,Converged,151.68298674490836,317,359.5207249007415,True,0.47849522632463204,948,0,[],5,1.0786490259199234e-09,
36,2026-06-24T16:30:00Z,True,Converged,139.81751413344287,317,359.5207249007415,True,0.44106471335470937,948,0,[],5,1.2875493265046303e-09,
37,2026-06-24T17:00:00Z,True,Converged,146.41578602570002,317,359.5207249007415,True,0.46187945118517354,948,0,[],5,1.0495941845557135e-09,
38,2026-06-24T17:30:00Z,True,Converged,141.0834283537563,317,359.5207249007415,True,0.445058133608064,948,0,[],5,1.434534003616443e-09,
