settlement_period,name,p_from_mw,q_from_mvar,p_to_mw
3,spine:ABHA1-ALVE1,-215.95495827150106,-29.031450639565126,216.1448567892016
3,spine:ABHA1-EXET1,73.01272586669099,69.7684749198493,-72.9782008000226
3,spine:ABHA1-LAND1,2.6532043941514236,-64.4962935929596,-2.648922402101437
3,spine:ABNE_P-BUMU_P,25.828749928258098,-90.81172355819113,-25.813673802702937
3,spine:ABNE_P-CHAR_P,-88.827695145722,-52.59815999219306,88.85710694580887
3,spine:ABNE_P-COUA_P,-31.327244288203904,-69.92703582813316,31.34219199977728
3,spine:ABNE_P-CUPA,2.8873893010686755,57.60970249211274,-2.8785472491682644
3,spine:ABNE_P-GLRO,76.50626834045345,149.19354456573222,-76.4417178386899
3,spine:ABTH_1-ALVE1,-204.4343907657869,-106.6492451464351,204.62659608516086
3,spine:ABTH_1-BRWA1,200.4005124887962,35.13053115084928,-200.28460802385302
3,spine:ABTH_1-CARE_1,31.947929497761933,52.24341883545161,-31.941034671989705
3,spine:ABTH_1-PYLE_1,-322.7623082205485,-30.417718042539587,322.9287866893951
3,spine:ABTH_1-TAUN1,146.31282513429775,-0.5710573948588923,-146.2515312317622
3,spine:ABTH_1-UPPB_1,13.833017383230754,22.025922492204167,-13.831143899174156
3,spine:ACTL_2-MILH_1,-112.03434544686124,-12.90990051569417,112.05624991020645
3,spine:ACTL_2-WATFS_1,-407.1572856367229,-57.801168280497386,407.622672152276
3,spine:ACTL_2-WISD_1,317.34093334333767,23.302759070233485,-317.3383440678951
3,spine:ALNE_P-BEAU_P,54.26971513135614,90.17884080091356,-54.21916341874613
3,spine:ALNE_P-BROR_P,-25.35707717588022,-57.90098669833574,25.37119671346409
3,spine:ALNE_P-GRUB_P,13.788044662565625,9.657227124258693,-13.785097540198285
3,spine:ALNE_P-INNE_P,9.006476660258489,32.66974061559264,-8.99942204741926
3,spine:ALNE_P-NAIR_P,-31.44135739147254,-11.961059659808077,31.445209918526718
3,spine:ALNE_P-SHIN_P,-15.45132918651577,-63.927422935614864,15.463009718429642
3,spine:ALST_3-IMPK_1,302.04016764028836,-149.66114826028036,-302.0146284551226
3,spine:ALST_3-SEAB1,421.48610703896566,146.05039657110393,-421.2157079655692
3,spine:ALVE1-EXET1,296.8007978401189,24.42738911546639,-296.47556600916494
3,spine:ALVE1-LAND1,228.594593042727,-68.20656862357116,-228.38835750542893
3,spine:ALVE1-PEMB_1,-1137.4453819429602,23.852726687862848,1145.1170124882399
3,spine:ALVE1-PYLE_1,79.35625844258637,25.17441896355169,-79.31380226331315
3,spine:AMEM_1-BRLE_1,-182.32935618150285,-123.56661795640808,182.45931643136456
3,spine:AMEM_1-COWL_1,-289.61618881691913,-104.44052039013987,289.83556591098886
3,spine:AMEM_1-ECLA_1,-407.5829469944155,-5.868463837267641,407.94765748696113
3,spine:AMEM_1-IVER_1,707.4639341991378,122.18932044370334,-706.8831584772615
