settlement_period,datetime_utc,converged,status,objective_j,dof,chi_threshold,chi_passed,reduced_chi2,measurements_n,removed_n,removed_json,iterations,max_state_update,error
3,2026-06-23T00:00:00Z,True,Converged,144.5618602749067,317,359.5207249007415,True,0.45603110496815996,948,0,[],5,2.7859412383935314e-09,
4,2026-06-23T00:30:00Z,True,Converged,129.5657764847268,317,359.5207249007415,True,0.40872484695497413,948,0,[],5,1.37194016232775e-09,
5,2026-06-23T01:00:00Z,True,Converged,122.82300907477975,317,359.5207249007415,True,0.3874542873021443,948,0,[],5,1.2810808524953966e-09,
6,2026-06-23T01:30:00Z,True,Converged,121.22689688969122,317,359.5207249007415,True,0.38241923309050857,948,0,[],5,1.3680477925003403e-09,
7,2026-06-23T02:00:00Z,True,Converged,128.46147219960156,317,359.5207249007415,True,0.4052412372227179,948,0,[],5,1.1924787547431347e-09,
8,2026-06-23T02:30:00Z,True,Converged,129.96584283569769,317,359.5207249007415,True,0.4099868859170274,948,0,[],5,1.3518295743161257e-09,
9,2026-06-23T03:00:00Z,True,Converged,131.12705457468405,317,359.5207249007415,True,0.41365001443118,948,0,[],5,1.3772418265683066e-09,
10,2026-06-23T03:30:00Z,True,Converged,130.94183306884534,317,359.5207249007415,True,0.4130657194600799,948,0,[],5,2.4580948607248512e-09,
11,2026-06-23T04:00:00Z,True,Converged,130.18643464551184,317,359.5207249007415,True,0.41068275913410673,948,0,[],5,1.4234419616212137e-09,
12,2026-06-23T04:30:00Z,True,Converged,130.11886971445674,317,359.5207249007415,True,0.4104696205503367,948,0,[],5,1.1113656186293603e-09,
13,2026-06-23T05:00:00Z,True,Converged,129.95427063960582,317,359.5207249007415,True,0.4099503805665799,948,0,[],5,1.0241815545868378e-09,
14,2026-06-23T05:30:00Z,True,Converged,151.90601837209218,317,359.5207249007415,True,0.47919879612647376,948,0,[],5,5.498058662561787e-10,
15,2026-06-23T06:00:00Z,True,Converged,167.90642116135675,317,359.5207249007415,True,0.5296732528749424,948,0,[],5,6.189647630628065e-10,
16,2026-06-23T06:30:00Z,True,Converged,173.13112508028746,317,359.5207249007415,True,0.5461549687075314,948,0,[],5,7.356324742133641e-10,
17,2026-06-23T07:00:00Z,True,Converged,144.6927564356375,317,359.5207249007415,True,0.4564440266108439,948,0,[],5,2.1648515284870776e-09,
18,2026-06-23T07:30:00Z,True,Converged,143.04149190565758,317,359.5207249007415,True,0.4512349902386674,948,0,[],5,2.465787835206869e-09,
19,2026-06-23T08:00:00Z,True,Converged,141.38907748825073,317,359.5207249007415,True,0.4460223264613588,948,0,[],5,2.466850190407199e-09,
20,2026-06-23T08:30:00Z,True,Converged,144.41026364690677,317,359.5207249007415,True,0.4555528821668983,948,0,[],5,1.988681463634275e-09,
21,2026-06-23T09:00:00Z,True,Converged,151.729626317653,317,359.5207249007415,True,0.47864235431436275,948,0,[],5,1.5343588524295125e-09,
22,2026-06-23T09:30:00Z,True,Converged,151.35838847794494,317,359.5207249007415,True,0.47747125702821747,948,0,[],5,1.2250648479763407e-09,
23,2026-06-23T10:00:00Z,True,Converged,153.27403524812595,317,359.5207249007415,True,0.4835143067764226,948,0,[],5,1.4010832601829063e-09,
24,2026-06-23T10:30:00Z,True,Converged,151.25873058147616,317,359.5207249007415,True,0.4771568788059185,948,0,[],5,1.2286843912318908e-09,
